Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-November-2020,2.02,2.02,1.95,1.96,1.975611855254146771,1359431,465,2685708.00,1112893,81.86,0.07,-0.06
6-November-2020,2.02,2.04,2.00,2.01,2.019297203401938593,664915,186,1342661.00,489409,73.60,0.04,-0.01
5-November-2020,2.03,2.08,2.01,2.02,2.031883772774936841,1097643,446,2230283.00,876930,79.89,0.07,-0.01
4-November-2020,1.99,2.05,1.96,2.02,2.025790284379528934,1164043,370,2358107.00,947549,81.40,0.09,0.03
3-November-2020,2.03,2.03,1.97,1.99,2.010268733600011783,475229,141,955338.00,418457,88.05,0.06,-0.04
2-November-2020,2.03,2.03,1.96,1.99,1.988975182637269885,976252,363,1941741.00,782053,80.11,0.07,-0.04
30-October-2020,1.99,2.06,1.97,2.00,2.027400197724772686,1436340,1283,2912036.00,880586,61.31,0.09,0.01
29-October-2020,1.99,1.99,1.95,1.97,1.971015641199365529,757167,238,1492388.00,465202,61.44,0.04,-0.02
28-October-2020,2.00,2.04,1.95,1.98,1.988886577739606538,1490360,379,2964157.00,721155,48.39,0.09,-0.02
27-October-2020,2.03,2.07,1.96,1.97,1.999135248081676075,2722168,1092,5441982.00,1596620,58.65,0.11,-0.06
26-October-2020,2.11,2.15,1.96,2.01,2.094328347008884150,4051147,1103,8484432.00,2894186,71.44,0.19,-0.10
23-October-2020,2.00,2.06,2.00,2.05,2.039968828051236600,2729377,1208,5567844.00,2090893,76.61,0.06,0.05
22-October-2020,1.88,1.99,1.88,1.97,1.965803086746734061,2771332,979,5447893.00,1754533,63.31,0.11,0.09
21-October-2020,1.90,1.93,1.88,1.92,1.917972767106011450,678738,343,1301801.00,514181,75.76,0.05,0.02
20-October-2020,1.94,1.94,1.87,1.89,1.892677256163389228,1085604,363,2054698.00,735276,67.73,0.07,-0.05
19-October-2020,1.95,1.95,1.89,1.92,1.920664698932536773,1690269,552,3246440.00,1270089,75.14,0.06,-0.03
16-October-2020,1.93,1.95,1.86,1.92,1.892565550787254543,3162319,885,5984896.00,1851152,58.54,0.09,-0.01
15-October-2020,2.04,2.04,1.90,1.92,1.981799702138618773,3700379,1133,7333410.00,2100688,56.77,0.14,-0.12
14-October-2020,1.88,1.98,1.85,1.98,1.928074981847016005,3367215,991,6492243.00,1942053,57.68,0.13,0.10
13-October-2020,2.00,2.00,1.88,1.89,1.908550921482973148,2288268,1332,4367276.00,1896624,82.88,0.12,-0.11
12-October-2020,2.05,2.11,1.97,1.97,2.003507634190124869,1622176,1017,3250042.00,1152100,71.02,0.14,-0.08
9-October-2020,2.15,2.15,2.03,2.07,2.066411913711011424,2584988,724,5341650.00,1406641,54.42,0.12,-0.08
8-October-2020,2.29,2.33,2.12,2.13,2.209784826847126159,1500466,516,3315707.00,1004260,66.93,0.21,-0.16
7-October-2020,2.36,2.38,2.23,2.23,2.266894524148391319,770072,340,1745672.00,494377,64.20,0.15,-0.13
6-October-2020,2.35,2.45,2.29,2.34,2.394355632045923028,1481087,771,3546249.00,1124149,75.90,0.16,-0.01
5-October-2020,2.43,2.44,2.33,2.34,2.348652515496379163,1545361,679,3629516.00,1266324,81.94,0.11,-0.09
1-October-2020,2.52,2.57,2.43,2.45,2.487421239019454537,717519,566,1784772.00,425094,59.24,0.14,-0.07
30-September-2020,2.71,2.71,2.55,2.55,2.592332332551337729,1005547,461,2606712.00,737147,73.31,0.16,-0.16
29-September-2020,2.70,2.70,2.66,2.68,2.688987788718391205,616561,213,1657925.00,426033,69.10,0.04,-0.02
28-September-2020,2.58,2.58,2.55,2.58,2.579999270427612325,1206186,103,3111959.00,1202764,99.72,0.03,0.00
25-September-2020,2.32,2.46,2.31,2.46,2.367386627730642940,1632079,503,3863762.00,935357,57.31,0.15,0.14
24-September-2020,2.45,2.45,2.34,2.35,2.369405034260496178,1065221,380,2523940.00,846685,79.48,0.11,-0.10
23-September-2020,2.64,2.64,2.46,2.46,2.507059422980544857,1195211,483,2996465.00,532622,44.56,0.18,-0.18
22-September-2020,2.63,2.65,2.57,2.58,2.582682068911831741,1657161,480,4279920.00,1135865,68.54,0.08,-0.05
21-September-2020,2.84,2.86,2.70,2.70,2.710923525331765528,1040946,380,2821925.00,556076,53.42,0.16,-0.14
18-September-2020,2.89,2.90,2.80,2.84,2.843486386611731724,470860,250,1338884.00,288215,61.21,0.10,-0.05
17-September-2020,2.81,2.96,2.81,2.89,2.887206547490846435,510730,557,1474583.00,295978,57.95,0.15,0.08
16-September-2020,3.06,3.06,2.91,2.92,2.934385359574923645,1625308,820,4769280.00,924042,56.85,0.15,-0.14
15-September-2020,3.16,3.16,3.02,3.06,3.061885026698021029,334669,195,1024718.00,228524,68.28,0.14,-0.10
14-September-2020,3.11,3.13,3.03,3.07,3.077726831626376718,1385995,451,4265714.00,1057715,76.31,0.10,-0.04
11-September-2020,3.05,3.05,2.92,2.99,2.965516298679864645,987626,1457,2928821.00,619942,62.77,0.13,-0.06
10-September-2020,3.08,3.31,3.05,3.05,3.094539762751855533,2153020,1004,6662606.00,1214302,56.40,0.26,-0.03
9-September-2020,3.40,3.40,3.21,3.21,3.220388803317721387,637546,248,2053146.00,552438,86.65,0.19,-0.19
8-September-2020,3.38,3.43,3.35,3.37,3.402805654765946467,2945480,1360,10022896.00,1566179,53.17,0.08,-0.01
7-September-2020,3.24,3.27,3.12,3.27,3.248477956317726091,2369840,746,7698373.00,1379379,58.21,0.15,0.03
4-September-2020,3.10,3.12,3.06,3.12,3.109070783029819750,1334317,532,4148486.00,1231411,92.29,0.06,0.02
3-September-2020,2.85,2.98,2.85,2.98,2.979533442547608281,269806,88,803896.00,268806,99.63,0.13,0.13
